word_ru,definition_ru,word_uz,definition_uz
ГЛАВА ОРГАНИЗАЦИИ,"Лицо, ответственное за руководство и управление организацией.",TASHKILOT,"Tashkilot - biror maqsadga erishish uchun birlashtirilgan odamlar, resurslar va faoliyatlar tizimi."
ГОРОД ХОРВАТИИ,"Город Хорватии - населённый пункт на территории Хорватии, имеющий свои административные и культурные особенности.",XORVATIYA,"Xorvatiya - Janubiy Yevropada joylashgan davlat, Adriatika dengizi bo'yida."
ГОРОД В ХОРВАТИИ,"Город в Хорватии - населённый пункт в Хорватии, например, Загреб или Сплит.",XORVATIYADAGI,""
РАЗДОЛБАЙСТВО,"Легкомысленное или небрежное отношение к делу, отсутствие ответственности.",CHIQADI,"Chiqadi - biror joydan tashqariga yoki yuqoriga harakat qilish, chiqish."
ПОРТРЕТИРОВАНИЕ,"Отображение или описание черт, качеств и особенностей личности.",PORTRET,Portret - inson yoki hayvonning yuz ifodasini tasvirlab beruvchi san'at asari.
БУРУНДУК,"Маленький грызун с полосками на спине, принадлежащий к семейству беличьих.",CHIPMUNK,"Chipmunk - kichik, chiziqlar bilan belgilangan, odatda tuxum yoki yong'oq ovlaydigan va yo'l chetlarida yashovchi qisqa quloqli sichqon."
РАЗГИЛЬДЯЙСТВО,"Неаккуратное, безалаберное отношение к делу или обязанностям.",JIM,""
МНОГОНАЦИОНАЛЬНОЕ НАСЕЛЕНИЕ,"Население, состоящее из представителей различных наций и этнических групп.",KO'P,""
БРОСОК,"Бросок — резкое движение для бросания чего-либо, обычно с целью поразить цель.",OTISHLAR,O'tishlar - bir joydan boshqa joyga o‘tish jarayoni yoki usuli.
ИНФЛЯЦИЯ,"Рост общего уровня цен на товары и услуги, приводящий к уменьшению покупательной способности денег.",INFLATSIYA,Pul qiymatining pasayishi va narxlarning oshishi jarayoni.
БРОСАНИЕ,Бросание — действие по акте бросания чего-либо.,OTISH,""
НАБРАСЫВАНИЕ,"Сложение или быстрое набрасывание текста, идей или эскизов.",TOMOQ,"TOMOQ - ovqatni yutish uchun xizmat qiluvchi, bo'yin atrofida joylashgan organ."
ШВЫРЯНИЕ,Швыряние - механизм бросания или метания предметов с силой.,SHUNDA,""
ИНФЛЯЦИОННЫЕ КОЛЕБАНИЯ,"Изменения уровня цен на товары и услуги в экономике, приводящие к инфляции.",INFLATSIYANI,""
НАБРОСКА,"Наброска — предварительный эскиз или черновой вариант рисунка, текста.",ESKIZ,""
ИНФЛЯЦИОННЫЙ ПРОЦЕСС,Изменение уровня цен и снижение покупательной способности денег в экономике.,INFLATSIYA,""
ЗАХОД,"Мероприятие или действие, предпринимаемое для достижения какой-либо цели.",KUBOTI,""
УМЕРЕННОСТЬ,"Состояние или качество быть умеренным, сбалансированным в действиях и эмоциях.",MODERATSIYA,""
СУДОВОЙ МОСТИК,Небольшое надводное сооружение на судне для управления им и наблюдения за окружающей обстановкой.,SHIP,""
КАПИТАНСКИЙ МОСТИК,"Непосредственное рабочее место капитана на судне, откуда управляется корабль.",KAPIANLAR,""
МОСТИК,"Небольшой мост, соединяющий две стороны или проходящий над препятствием.",KO‘PROQ,""
МОСТИК СУДНА,"Небольшая площадка или конструкция на судне, предназначенная для управления навигацией и наблюдения за окружающей обстановкой.",SHIP,""
НЕДОСТАТОЧНАЯ ФУНКЦИЯ,"Недостаточная функция — это функция, которая не обеспечивает все необходимые результаты или не выполняет все требуемые задачи.",FUNKSIYA,""
ФУНКЦИОНАЛЬНАЯ НЕДОСТАТОЧНОСТЬ,"Состояние, при котором органы или системы организма не выполняют свои функции должным образом.",FUNKSIONAL,""
ФУНКЦИОНАЛЬНАЯ НЕДОСТАТОЧНОСТЬ ОРГАНА,"Состояние, при котором орган не выполняет свои функции должным образом.",ORGANLARNING,""
НЕДОСТАТОЧНОСТЬ ОРГАНА,"Состояние, при котором орган не может выполнять свои функции в полном объеме.",Organlar,""
ПОКОРЕНИЕ,Подчинение или овладение чем-либо через давление или насилие.,FATİH,""
ЗАВОЕВАНИЯ,"Действия или результаты завоевания, приобретения контроля над территорией или народом.",FATİHLAR,""
НЕДОСТАТОЧНОСТЬ,Недостаточность — это состояние недостатка или нехватки чего-либо.,MUVOFIQ,""
ЗАВОЕВЫВАНИЕ,"Процесс захвата или одержания победы над чем-либо, обычно в контексте военных действий или конкуренции.",FATİH,""
МОСТИК КОРАБЛЯ,Переходник между палубой корабля и берегом или другим судном.,SHIP,""
ТАМИЛ,"ТАМИЛ — член этнической группы, основное население штата Тамилнад в Индии и часть Шри-Ланки.",TAMIL,""
ТАМИЛКА,Тами́лка — традиционная женская одежда народов Тамилнаду и других регионов Индии.,TAMIL,""
ВАРКА,Процесс приготовления пищи в кипящей жидкости.,Pishirish,""
ВАРЕНИЕ,"Сладкий продукт, приготовленный из фруктов или ягод с сахаром и подвергнутый варке.",QAYNATISH,""
ЛИВАНКА,"Ливанка — это украшение или обряд, связанный с народными традициями, часто используется в праздниках и ритуалах.",LIVAN,""
ЛИВАНЕЦ,Ливанец — житель или уроженец Ливана.,LIVAN,""
СТЕННАЯ НИША,Углубление в стене для размещения предметов или декора.,DEVOR,""
ОПЕРНАЯ ПОСТАНОВКА,"Театральное представление, основанное на музыке и пении, часто с актёрской игрой.",OPERA,""
ОПЕРА,"Музыкально-драматическое произведение, исполняемое в театре с участием певцов и оркестра.",OPERA,""
ОПРОС,Исследование мнений или предпочтений группы людей с целью получения информации.,SO'ROQ,""
НИША СТЕНЫ,Выемка в стене для размещения предметов или улучшения интерьера.,NICHE,""
ОПЕРНЫЙ СПЕКТАКЛЬ,"Театральное представление, основанное на оперной музыке и вокале.",OPERA,""
НИША,Углубление в стене для размещения предметов или отделения.,NICHE,""
ОПРАШИВАНИЕ,Сбор информации через задавание вопросов.,SO'ROQ,""
НИША В СТЕНЕ,"Выемка или углубление в стене, предназначенное для размещения предметов.",Devordagi,""
АДЗЬВА,"Адзьва — это река в России, приток реки Ворш.",ADZVA,""
ФЛЮРОГРАФИЯ,Флюрография — метод рентгенографического исследования легких с использованием флюоресцентных свойств.,FLUROGRAFIYA,""
УСАЖИВАНИЕ,"Процесс или действие по посадке растений, особенно деревьев или кустарников.",O'TIRISH,""
ФЛЮОРОГРАФИЯ,Метод рентгенографического исследования для визуализации флюоресцентных свойств веществ.,FLUOROGRAFIYA,""
ФЛЮОРОГРАФИЧЕСКИЙ ОСМОТР,Флюорографический осмотр — метод рентгенологического обследования лёгких для выявления туберкулёза и других заболеваний.,FLUOROGRAFIK,Fluorografik - o'pkalarni rentgen nurlarida tasvirlash usuli.
ФЛЮОРОГРАФИЧЕСКОЕ ОБСЛЕДОВАНИЕ,Метод рентгенографического исследования для диагностики заболеваний органов дыхания.,FLUOROGRAFIK,""
БОРЬБА ДЗЮДО,"Спортивное единоборство, основанное на бросках и удержаниях.",KURASH,"Kurash - an'anaviy o'zbek kurash san'ati, raqiblarni yengish maqsadida jismoniy kuch va mahoratni qo'llaydi."
ИНОК,"Монах, живущий в монастыре и соблюдающий религиозные обеты.",ENOCH,""
ДЗЮДО,"Дзюдо — японское боевое искусство, основанное на бросках и приемах борьбы.",DZYDO,"DZYDO - bir necha qo'shimchalardan iborat bo'lgan tibbi, psixologik yoki ijtimoiy muammo."
РАЗБОР,"Анализ или разъяснение чего-либо, обычно с целью объяснения или оценки.",BO'LASH,""
КРАСИТЕЛЬ,Вещество или инструмент для окрашивания поверхностей.,BO'YICHA,""
ВАЛЕНКИ,"Тёплая обувь из фетра или селезенки, обычно для зимы.",FELT,"Qo'l bilan yoğrish orqali tayyorlangan, yumshoq va issiq mato."
ИНОКИНЯ,Женщина-монахиня.,YO'Q,""
РАЗБОРКА,Процесss разрешения конфликта или объяснения ситуации.,BO'LASH,""
ПРАВОСЛАВНЫЙ МОНАХ,"Монах, принадлежащий к православной церкви и соблюдающий её обычаи и правила.",pravoslav,""
ИНОЧЕСТВО,"ИНОЧЕСТВО — состояние или качество быть иноком, принадлежность к монашескому или аскетическому образу жизни.",MONASTIZM,""
КРАСЯЩИЙ АГЕНТ,"Вещество, придающее цвет другим материалам или объектам.",BO'YICHA,""
ТИРАСПОЛЬ,Тирасполь — столица Приднестровской Молдавской Республики.,TIRASPOL,""
ПИГМЕНТ,"Пигмент — это окрашивающее вещество, придающее цвет живым организмам или материалам.",PIGMENT,""
ЧАСОВАЯ ПРОМЫШЛЕННОСТЬ,"Отрасль промышленности, занимающаяся производством часов и часовых механизмов.",SOAT,""
ИНЖЕНЕРИЯ,"Наука и практика проектирования и создания сложных систем, конструкций и технологий.",Muhandislik,""
ИНЖЕНЕРНОЕ ДЕЛО,"Наука и практика проектирования, разработки, эксплуатации и управления инженерными системами и технологиями.",Muhandislik,""
АРТЕРИАЛЬНАЯ ГИПЕРТЕНЗИЯ,Артриальная гипертензия — устойчивое повышение артериального давления выше нормы.,ARTERIAL,""
РЕКА ПИРИТА,"Река пирита — минерал, образующийся в виде блестящих золотистых кристаллов, также известный как ""лжеметалл"".",PIRITA,""
ГИПЕРТОНИЧЕСКИЙ КРИЗ,"Резкое и опасное повышение артериального давления, требующее неотложной медицинской помощи.",GIPERTANSİYON,""
КАССА,"Место, где производятся финансовые операции и продажи билетов или товаров.",KASSA,""
ГИПЕРТОНИЧЕСКАЯ БОЛЕЗНЬ,"Заболевание, характеризующееся постоянно повышенным артериальным давлением.",GIPERTANSİYON,""
ГИПЕРТОНИЯ,"Повышенное артериальное давление, хроническое состояние, требующее медицинского контроля.",GIPERTENSIYA,""
КАССА ШРИФТОВ,"Касса шрифтов - это коллекция шрифтов, доступных для использования в дизайне и печати.",FONT,""
МЕДИЦИНСКОЕ УЧЕБНОЕ ЗАВЕДЕНИЕ,"Учебное заведение, где обучают медицинским специальностям и профессиям.",TIBBIYOT,""
НАБОРНАЯ КАССА,Устройство для подачи и сбора денежных средств в торговых точках.,HOLDA,""
ВЕТЕРАН ВЕЛИКОЙ ОТЕЧЕСТВЕННОЙ ВОЙНЫ,"Человек, участвовавший в боях и мероприятиях во время Великой Отечественной войны 1941-1945 годов.",BUYUK,""
УЧАСТНИК ВОВ,"Человек, принимавший участие в Великой Отечественной войне (1941-1945 годы).",IKKINCHI,""
ВЕТЕРАН ВОВ,Участник Великой Отечественной войны.,IKKINCHI,""
УЧАСТНИК ВЕЛИКОЙ ОТЕЧЕСТВЕННОЙ ВОЙНЫ,"Лицо, сражавшееся на стороне СССР в Великой Отечественной войне 1941–1945 годов.",BUYUK,""
ДЕВИАЦИЯ,Отклонение от нормы или стандартного поведения.,O'G'ILISh,""
НЮРНБЕРГ,"Нюрнберг — город в Германии, известный своими историческими памятниками и судебными процессами после Второй мировой войны.",NYRENBERG,""
ДЕВИАНТНЫЙ ПОСТУПОК,"ДЕВИАНТНЫЙ ПОСТУПОК — действие, отклоняющееся от социальных норм и стандартов поведения.",DEVIANT,""
ПАТОЛОГИЯ,Изучение и описание заболеваний и их нарушений функции.,PATOLOGIYA,""
ДЕВИАНТНОЕ ПОВЕДЕНИЕ,Отличающееся от социальных норм и стандартов поведение.,DEVIANT,""
СОЦИАЛЬНАЯ ДЕВИАЦИЯ,Отклонение индивида или группы от социальных норм и ценностей.,IJTIMOIY,""
РАПСОДИЯ,"Литературное или музыкальное произведение, сочиненное в свободной форме, часто эмоциональное и экспрессивное.",RAPSODIYA,""
ДЕВИАЦИЯ ПОВЕДЕНИЯ,Отклонение от общепринятых норм и стандартов поведения.,Xulq-atvorning,""
КАЗАХСТАНЦЫ,Граждане или жители Казахстана.,QOZOQISTON,""
АРАБИСТИКА,Наука о языке и литературе арабов.,ARABISTIKA,""
НЕТРАДИЦИОННОСТЬ,Состояние или качество отсутствия традиционных норм и обычаев.,NOAN'anaviy,""
ЯРОСТНОСТЬ,Состояние сильного гнева или ярости.,G'azabli,""
НЕУДЕРЖИМОСТЬ,"Неудержимость — состояние, при котором невозможно сдерживать свои эмоции, желания или действия.",BO'LMAYDI,""
БЕЗУДЕРЖНОСТЬ,неспособность контролировать свои желания или эмоции.,ESLATMA,""
ЯРОСТЬ,Сильное чувство гнева и агрессии.,G'azab,""
НЕУКРОТИМОСТЬ,"неукротимость — свойство или состояние, характеризующееся невозможностью быть укрощённым или подчинённым.",INTAMINASYON,""
ЧИСТКА,"Чистка — процесс удаления грязи, ненужных материалов или примесей.",TOZALASH,""
НЕУЕМНОСТЬ,"Неуемность — неугомонность, несдержанность в желаниях или действиях.",JINNI,"Jinni - afsonaviy ruh, odatda insonlar bilan to'g'ridan-to'g'ri aloqada bo'lmagan, yaxshi yoki yomon ta'sir ko'rsatishi mumkin bo'lgan mavjudot."
КОЛЮЧАЯ ПРОВОЛОКА,"Стальная проволока с острыми шипами, использующаяся для ограждения и защиты территорий.",Tikanli,Tikanli - tikan yoki tuklarga ega bo'lgan; qichituvchi yoki kuziq keltiruvchi narsalar.
ОЧИСТКА,Процесс удаления загрязнений или ненужных веществ.,TOZALASH,"Tozalash - bir narsaning iflosligini, qoldiqlarini olib tashlash jarayoni."
САНИ,Сани — транспортное средство на полозьях для передвижения по снегу или льду.,SLED,""
ПЕШИЙ ПОХОД,Прогулка или путешествие пешком по определённому маршруту.,POYLAR,"Poylar – kuch-quvvat, turli harakatlar yoki kuchlarni birlashtiruvchi tuzilmalar."
АВАНСЦЕНА,"Авансцена — часть театральной сцены, расположенная ближе к зрителям.",PROSCENIUM,"Proscenium - sahna oldidagi qism, teatrda o'yinlarni tomosha qilish uchun mo'ljallangan joy."
САННАЯ ПОВОЗКА,"Средство передвижения на санях, используемое для перевозки людей или грузов по снегу.",CHANADA,""
КУРСКАЯ ОБЛ.,"КУРСКАЯ ОБЛ. — область в России, административно-территориальная единица, расположенная в Центральном федеральном округе.",KURSK,"KURSK - Rossiyaning zentral qismida joylashgan shahar, tarixiy ahamiyatga ega."
КУРСКАЯ ОБЛАСТЬ,"Курская область — субъект Российской Федерации, расположенный в центральной части страны.",KURSK,""
СОЛОВЬИНЫЙ КРАЙ,"Соловьиный край — это живописное место, известное своим богатым природным ландшафтом и многоголосым пением соловьев.",BULUL,""
ОНКОЛОГИЯ,Наука о раковых заболеваниях и их лечении.,ONKOLOGIYA,""
ФИНАНСОВОЕ НАРУШЕНИЕ,Нарушение правил или норм в области финансовой деятельности.,MOLIYAVIY,Moliya bilan bog'liq yoki iqtisodiy resurslar bilan shug'ullanuvchi.
ТОЛСТАЯ КИШКА,"Часть пищеварительного тракта, отвечающая за усвоение воды и формирование каловых масс.",YO'G'ON,Katta qalinlik yoki kenglikka ega bo'lgan narsalar uchun ishlatiladigan so'z.
НАРУШЕНИЕ ФИНАНСОВОЙ ДИСЦИПЛИНЫ,Нарушение финансовой дисциплины — это несоблюдение правил и норм управления финансами.,Moliyaviy,""
АВТОМОБИЛЬ ГАЗ,"Автомобиль ГАЗ — это марка легковых и грузовых автомобилей, производимых Горьковским автомобильным заводом в России.",AVTO,""
ГАЗИК,Небольшой автобус или микроавтобус.,GAZIK,""
УПРОЧНЕНИЕ,"Укрепление, становление более прочным или устойчивым.",MUSTAHKAMLASH,""
МАШИНА ГАЗ,"Машина, использующая газ в качестве топлива для работы двигателя.",AVTO,""
ГЛАДЬ ВОДНОЙ ПОВЕРХНОСТИ,"Ровная, спокойная поверхность воды без волн и колебаний.",SIL,""
ЗЕРКАЛО,"Поверхность, отражающая свет и создающая изображение объектов.",MIRROR,""
БИОТЕХНОЛОГИЯ,"Наука и технологии, использующие живые организмы и их компоненты для решения социальных, экологических и экономических задач.",BIOTEXNOLOGIYA,""
ЗЕРКАЛО ВОДЫ,Отражение поверхности воды.,SUV,""
ГАЗ,"Газ — это вещество в газообразном состоянии, не имеющее определённой формы и объёма.",GAZ,""
ГЛАДЬ ВОДЫ,"Спокойная, ровная поверхность воды без волн и ripples.",SIL,""
ЗЕРКАЛЬНАЯ ГЛАДЬ,"Поверхность, отражающая свет и создающая зеркальное изображение.",MIRROR,""
ГЛАДЬ,"Гладь — ровная, спокойная поверхность воды или другого материала.",SMOTH,""
ВОДНАЯ ГЛАДЬ,"Поверхность воды, свободная от волн и ряби.",SUV,""
СОЧИНЕНИЕ,"Сочинение — письменный текст, в котором изложены мысли, идеи или произведения автора.",TARKIBI,""
СВЯТАЯ ДЕВА,СВЯТАЯ ДЕВА — почётное наименование Богородицы в православии.,MUQADDAS,""
УСПОКОЕНИЕ,Состояние умиротворения и душевного покоя.,TOSHISHTIRISH,""
ПРЕСВЯТАЯ ДЕВА,Пресвятая Дева - титул Пресвятой Богородицы в христианстве.,MUQADDAS,""
ПРЕСВЯТАЯ БОГОРОДИЦА,"Пресвятая Богородица – название Девы Марии, матери Иисуса Христа, почитаемой в христианстве.",MUQADDAS,""
УНЯТИЕ,УНЯТИЕ — процесс уменьшения или ослабления воздействия чего-либо.,TUSHUNMA,""
МАТЬ ХРИСТОВА,"Мать Христова — это Мария, мать Иисуса Христа в христианской традиции.",MASIHNING,""
МАДОННА,"Женщина, символизирующая материнство и чистоту, часто изображаемая в искусстве.",MADONNA,""
ЦАРИЦА НЕБЕСНАЯ,Царица Небесная — почетное наименование Божьей Матери в православии.,Osmon,""
БОЖЬЯ МАТЬ,"Мать Божья — это христианское название Девы Марии, матери Иисуса Христа.",XUDONI,""
ДЕВА МАРИЯ,"Дева Мария — мать Иисуса Христа, почитаемая в христианстве как святая.",Bokira,""
БОЖЬЯ МАТЕРЬ,"Божья Матерь — почитаемое в христианстве название Девы Марии, матери Иисуса Христа.",XUDONI,""
БОГОМАТЕРЬ,"Богоматерь — духовное название Девы Марии, мать Иисуса Христа в христианстве.",XUDONI,""
БОГОРОДИЦА,"Святая Дева Мария, мать Иисуса Христа.",BOKIRA,""
ГОРОДСКОЕ ИМУЩЕСТВО,"Имущество, принадлежащее муниципалитету и используемое для нужд городского населения.",SHAHAR,""
ГОРОДСКАЯ НЕДВИЖИМОСТЬ,"Недвижимость, расположенная в городской местности, включая квартиры, дома и коммерческие здания.",SHAHAR,""
ИМУЩЕСТВО ГОРОДА,"Объекты и ресурсы, принадлежащие муниципалитету или городу.",SHAHAR,""
ГОРОДСКАЯ СОБСТВЕННОСТЬ,"Имущество, принадлежащее местным властям и используемое для нужд города.",SHAHAR,""
КРАСНОКАМСК,"Город в России, административный центр Краснокамского района Пермского края.",KRASNOKAMSK,""
ЯИЧНИК,"ЯИЧНИК - орган, отвечающий за образование яйцеклеток у животных и человека.",Tuxumdon,""
